pipeline,event_month,leak_count
261 Pipeline,2020-02-01,1
261 Pipeline,2020-03-01,1
261 Pipeline,2020-10-01,1
261 Pipeline,2021-01-01,1
261 Pipeline,2021-06-01,1
261 Pipeline,2021-12-01,1
60 Pipeline,2020-04-01,1
60 Pipeline,2020-10-01,1
60 Pipeline,2022-01-01,1
60 Pipeline,2025-02-01,1
60 Pipeline,2025-03-01,1
60 Pipeline,2025-04-01,1
Albert Falls Pipeline,2018-01-01,1
Albert Falls Pipeline,2020-02-01,1
Albert Falls Pipeline,2020-07-01,2
Albert Falls Pipeline,2020-08-01,3
Albert Falls Pipeline,2020-11-01,1
Albert Falls Pipeline,2021-03-01,1
Albert Falls Pipeline,2021-05-01,2
Albert Falls Pipeline,2021-08-01,1
Albert Falls Pipeline,2021-09-01,3
Albert Falls Pipeline,2021-10-01,1
Albert Falls Pipeline,2022-01-01,1
Albert Falls Pipeline,2022-03-01,1
Albert Falls Pipeline,2022-04-01,1
Albert Falls Pipeline,2022-11-01,1
Albert Falls Pipeline,2023-01-01,1
Albert Falls Pipeline,2024-01-01,2
Albert Falls Pipeline,2024-03-01,1
Albert Falls Pipeline,2024-04-01,1
Albert Falls Pipeline,2024-05-01,1
Albert Falls Pipeline,2024-07-01,2
Albert Falls Pipeline,2024-08-01,1
Albert Falls Pipeline,2024-10-01,1
Albert Falls Pipeline,2024-11-01,1
Albert Falls Pipeline,2025-02-01,2
Albert Falls Pipeline,2025-03-01,2
Albert Falls Pipeline,2025-04-01,1
Ashburton Pipeline,2021-09-01,2
Ashburton Pipeline,2021-10-01,1
Ashburton Pipeline,2022-03-01,1
Ashburton Pipeline,2022-05-01,1
Ashburton Pipeline,2022-12-01,1
Ashburton Pipeline,2024-01-01,1
Ashburton Pipeline,2024-02-01,1
Bruyns Hill Pipeline,2020-01-01,1
Bruyns Hill Pipeline,2020-06-01,1
Bruyns Hill Pipeline,2020-09-01,1
Bruyns Hill Pipeline,2021-08-01,1
Bruyns Hill Pipeline,2021-10-01,1
Bruyns Hill Pipeline,2022-03-01,1
Bruyns Hill Pipeline,2023-03-01,1
