pipeline,leak_count,wo_total,leak_share,length_km,leaks_per_km
Unknown pipeline,261,2160,0.1208,,
Lion Park Pipeline,226,522,0.433,8.6,26.2791
’56 Pipeline,75,489,0.1534,7.3,10.274
Eston-Umbumbulu Pipeline,47,302,0.1556,16.1,2.9193
Wartburg Pipeline(’69 Pipeline),45,143,0.3147,19.3,2.3316
Table Mountain Pipeline,38,102,0.3725,14.8,2.5676
Albert Falls Pipeline,36,96,0.375,10.3,3.4951
’Richmond Pipeline,34,210,0.1619,4.9,6.9388
’61 Pipeline,33,268,0.1231,6.2,5.3226
Manyavu Pipeline,32,104,0.3077,13.0,2.4615
Mpophomeni Pipeline,32,94,0.3404,5.8,5.5172
‘251 Pipeline,27,166,0.1627,3.3,8.1818
Vulindlela Pipeline,26,185,0.1405,4.25,6.1176
Thornville,26,152,0.1711,7.9,3.2911
Howick Pipeline,24,117,0.2051,2.5,9.6
’53 Pipeline,22,127,0.1732,26.6,0.8271
Wartburg Pipeline,17,236,0.072,9.5,1.7895
’57 Pipeline,16,43,0.3721,8.6,1.8605
Bruyns Hill Pipeline,14,89,0.1573,12.0,1.1667
Howick West Pipeline,14,64,0.2188,3.3,4.2424
