Order,asset_key,pipe_key_match,PIPELINE NAME,Problem_Description,Description,Location_Description,Order Type,Priority,MaintActivType,System status,SYSTEM,SUB SYSTEM,Material,Nominal Diameter,TOTAL LENGTH (KM),PIPELINE AGE,CAPACITY MLD,Total act.costs,TotalPlnndCosts,event_year,event_month,event_dow,is_weekend,target_leak
90013224,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,Shutdown 53P/L,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,5.0,CMN,REL  PCNF PRT  GMPS MACM PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,1267165.05,57534.45,2025,2,1,0,0
763375,uw ii e mkon sup ops am0 build,,,Install Pipe Shelter at the Workshop,Mkondeni Regional Offices Buildings,Mkondeni Reg.Office Lights & Gen Elec,PM02,4.0,CMN,REL  PCNF GMPS MANC PPRT PRC  SETC,,,,,,,,1068133.79,421761.73,2022,1,3,0,0
787728,uw ii w muts rwt mup bgo build,albert falls pipeline,Albert Falls Pipeline,Pls replace gabion stones @ Outfall,Balgowan Structural & buildings,Balgowan Sleeve Valve Chamber,PM02,4.0,CMN,TECO PCNF GMPS NMAT PPRT PRC  SETC,Upper Mgeni,DV HARRIS,uPVC,200.0,10.3,22.0,5.44,752186.9,715400.0,2023,8,1,0,0
777779,uw ii e darv www dar adm build,,,attend to pivot tracks need G5 to repair,Buildings & Structures,Grounds and Lands General Equipment,PM02,4.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,,,,,,,,750000.0,750000.0,2023,1,2,0,0
778880,uw ii e dvha bds 053 53a ch051,53 pipeline,’53 Pipeline,attend pipe leak at 53p/l,53 Pipeline Chamber 51,"Pipe Segment, Between Chamber 51 AND 52",PM02,2.0,BDN,TECO PCNF GMPS PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,743095.87,165493.39,2023,2,3,0,1
766577,uw ii e dvha bds war ms1 pipel,wartburg pipeline,Wartburg Pipeline,Paint chambers along Wart.p/l,Mshwati Pipeline System (New),New Wartburg Pline,PM02,4.0,CMN,TECO PCNF GMPS PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Steel,700.0,9.5,8.0,66.0,736350.61,66815.47,2022,4,3,0,0
90005485,uw ii w midm bds 251 251 pipel,251 pipeline,‘251 Pipeline,51 PL St Josephs-DVH SV leaks,251 Pipeline (complete),251 Pipeline (complete),PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,1600.0,3.3,8.0,347.91,732374.0,600000.0,2024,7,1,0,0
90005495,uw ii w midm bds 261 261 ch001,261 pipeline,261 Pipeline,Signal Hill Servitude clearing,"261 Pipeline, Chamber 001","Pipe Section, Chamber 001 to Chamber 002",PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,1000.0,29.6,23.0,271.7,698500.0,800000.0,2024,7,1,0,0
796491,uw ii w midm bds eup eub ch002,eston umbumbulu pipeline,Eston-Umbumbulu Pipeline,Construction of new scour camber Umbumbu,Eston-Umbumbulu p/l Chamber 2,Umbumbulu Pipeline Chamber 2,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,600.0,16.1,28.0,48.93,561962.5,646256.88,2024,2,4,0,0
90005590,uw ii e ixop wtw ixw adm build,,,Please make a shelter for package plant,Ixopo Structural & Buildings,Ixopo Water Works General Structure,PM02,3.0,CMN,REL  GMPS NMAT PRC  SETC,,,,,,,,533800.0,400000.0,2024,8,3,0,0
793810,uw ii w midm bds 251 pha pipel,251 pipeline,‘251 Pipeline,Destumping between RWPS-N3,251 Pipeline (Complete),251 Pipeline (Complete),PM02,4.0,CMN,REL  PCNF PRT  NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,1600.0,3.3,8.0,347.91,516820.0,0.0,2024,1,1,0,0
90015047,uw ii w midm bds 061 61f pipel,61 pipeline,’61 Pipeline,Attend to the burst pipe at Umlaas Rd c/,"61 Pipeline, ED4 to Umlaas Rd",Pipe Segment ED4 - Umlaas Road,PM02,1.0,BDC,REL  PCNF GMPS MACM PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,511261.88,34032.0,2025,3,0,0,1
790934,uw ii w midm bds est eso pipel,eston umbumbulu pipeline,Eston-Umbumbulu Pipeline,Rehanilitate to stop erosion on Eston p/,Eston Pipeline (Complete),Eston Pipeline (Complete),PM02,5.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,600.0,16.1,28.0,48.93,510000.0,510000.0,2023,10,0,0,0
763305,uw ii w muts rwt mup sgp build,,,Pls install carport @ S/Grove WW,Spring Grove Pump Station Buildings,Spring Grove Buildings & Civil Structure,PM02,4.0,CMN,TECO PCNF GMPS MACM PPRT PRC  SETC,,,,,,,,487055.08,1219292.42,2022,1,2,0,0
742000,uw ii w midm bds vul vua res01,vulindlela pipeline,Vulindlela Pipeline,Rehabilitate road to Swartkop Res.,Vulindela Reservoir 1,Vulindela Res 1,PM02,4.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,400.0,4.25,28.0,21.7,474000.0,474000.0,2020,3,2,0,0
788099,uw ii w midm bds 061 61f pipel,61 pipeline,’61 Pipeline,De-stumping at Intaba Ridge,"61 Pipeline, ED4 to Umlaas Rd",Pipe Segment ED4 - Umlaas Road,PM02,5.0,CMN,TECO PCNF PRT  NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,465138.0,0.0,2023,8,1,0,0
757365,uw ii e ixop rwt ixw abs pipel,ixopo raw water rising main,Ixopo Raw Water Rising Main,Pls upgrade raw water rising mn pipeline,Ixopo Rising Main Pipeline,Ixopo Pipeline (Complete),PM02,4.0,CMN,TECO PCNF GMPS PPRT PRC  SETC,ixopo,Ixopo,Steel,250.0,1.38,27.0,6.37,461881.41,75209.62,2021,8,4,0,0
751783,uw ii w midm bds man pha ch003,manyavu pipeline,Manyavu Pipeline,Install new offtake for Manyavu p/l,"Manyavu Pipeline, Chamber 3","Manyavu Pipeline, Sv",PM02,4.0,CMN,TECO PCNF PRT  GMPS MACM PRC  SETC,Upper Mgeni,,Klambon,150.0,13.0,15.0,3.1,460233.79,338883.17,2021,2,3,0,0
90000786,uw ii e dvha bds war wbr build,wartburg pipeline,Wartburg Pipeline,install drainage system @w/burg farm,Wartburg Res Buildings & Structures,Wartburg Reservoir Building & Structures,PM02,4.0,CMN,REL  PCNF PRT  GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Steel,700.0,9.5,8.0,66.0,432114.1,1466500.0,2024,4,3,0,0
760545,uw ii e dvha bds 051 051 ch001,51 pipeline,‘51 Pipeline,install bermad valves at raw watr tunnel,Chamber No.1,Chamber,PM02,4.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Concrete,1300.0,10.8,63.0,229.68,431800.0,481800.0,2021,11,1,0,0
763884,uw ii e ixop wtw ixw abs ps001,,,raw water pumpstation slab and drainage,Abstraction Pumpset 1,#1 Raw Water Pumpset,PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,430000.0,430000.0,2022,1,0,0,0
90005498,uw ii w midm bds 261 261 ch036,261 pipeline,261 Pipeline,Slangspruit river crossing rehabilitatio,"261 Pipeline, Chamber 036","Chamber 035, Chamber",PM02,4.0,CMN,REL  GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,1000.0,29.6,23.0,271.7,411411.6,797286.3,2024,7,1,0,0
90008435,uw ii e dvha bds 053 53a ch051,53 pipeline,’53 Pipeline,Repair 53 pipeline leak,53 Pipeline Chamber 51,"Pipe Segment, Between Chamber 51 AND 52",PM02,2.0,BDN,TECO PCNF GMPS MACM PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,407384.06,47103.74,2024,10,2,0,1
90003311,uw ii e mkon sup mkw cb0 geneq,,,Fuel management system Dv Harris,Mkondeni Civil Bulk Workshop Equipment,Civil Bulk General Equipment,PM02,4.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,,,,,,,,406600.0,300000.0,2024,6,1,0,0
731140,uw ii w muts rws mup med build,,,Please repair damaged road.,Mearns Weir Structure and Buildings,Mearns Weir,PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,406180.0,406180.0,2019,6,1,0,0
